seller_id,months_active,category,gmv_monthly,commission_rate,num_orders,avg_order_value,return_rate,return_cost_estimate,support_tickets_monthly,marketing_spend,seller_tier,registration_source,net_margin_contribution,is_active
S0001,3,bags,32829,0.231,218,150.59,0.251,2724,1,1327,standard,referral,4629,0
S0002,20,underwear,12836,0.227,70,183.38,0.115,456,1,2377,standard,paid_campaign,2323,1
S0003,1,outerwear,35949,0.148,201,178.85,0.351,2926,17,3548,negotiated,organic,965,1
S0004,22,outerwear,1933,0.227,5,386.56,0.152,78,2,2263,standard,organic,223,1
S0005,30,jewelry,9376,0.14,43,218.05,0.05,98,6,1602,negotiated,paid_campaign,736,1
S0006,8,jewelry,2152,0.2,5,430.5,0.103,52,0,625,standard,paid_campaign,418,1
S0007,16,outerwear,33099,0.143,98,337.75,0.358,2221,22,2507,negotiated,organic,698,1
S0008,10,underwear,16425,0.169,87,188.79,0.162,661,12,1723,negotiated,organic,1121,1
S0009,2,bags,15464,0.162,37,417.96,0.063,193,18,780,negotiated,partner,911,1
S0010,32,accessories,19928,0.234,170,117.23,0.131,945,1,1863,standard,organic,3548,1
S0011,12,dresses,2940,0.205,13,226.15,0.237,189,2,2277,standard,organic,287,1
S0012,4,shoes,13559,0.155,113,119.99,0.05,190,18,1635,negotiated,partner,568,1
S0013,14,accessories,10935,0.238,108,101.25,0.175,739,0,1591,standard,paid_campaign,1802,1
S0014,25,sportswear,6369,0.212,33,193.0,0.05,92,2,0,standard,paid_campaign,1041,1
S0015,24,dresses,7231,0.231,24,301.31,0.113,229,2,391,standard,organic,1232,1
S0016,31,sportswear,3227,0.214,15,215.15,0.05,46,1,1145,standard,paid_campaign,545,1
S0017,32,dresses,3091,0.23,9,343.39,0.079,67,2,1010,standard,organic,555,1
S0018,31,bags,7079,0.2,22,321.79,0.05,87,0,0,standard,paid_campaign,1304,1
S0019,36,underwear,16044,0.158,154,104.18,0.133,644,14,3488,negotiated,referral,768,1
S0020,34,accessories,2215,0.221,9,246.1,0.083,52,2,0,standard,paid_campaign,272,1
S0021,9,dresses,2977,0.228,9,330.78,0.056,46,0,0,standard,paid_campaign,601,1
S0022,4,jewelry,24732,0.179,57,433.9,0.229,1210,13,4735,negotiated,organic,2083,0
S0023,28,bags,2939,0.217,8,367.36,0.05,38,2,642,standard,organic,440,1
S0024,19,bags,2258,0.206,9,250.84,0.05,30,0,476,standard,organic,405,1
S0025,18,accessories,2700,0.211,42,64.28,0.112,134,2,2029,standard,referral,304,1
S0026,32,bags,8983,0.212,25,359.31,0.169,385,0,830,standard,paid_campaign,1461,1
S0027,3,dresses,41418,0.141,245,169.05,0.522,4967,12,4829,negotiated,referral,-230,1
S0028,32,shoes,2390,0.239,10,239.04,0.105,76,1,900,standard,organic,481,1
S0029,13,dresses,2943,0.213,10,294.34,0.151,117,1,2080,standard,paid_campaign,370,1
S0030,16,shoes,2467,0.205,22,112.15,0.142,119,1,1776,standard,referral,219,1
S0031,36,jewelry,5851,0.237,27,216.71,0.121,217,1,756,standard,organic,1203,1
S0032,32,sportswear,31283,0.14,213,146.87,0.319,2416,18,2029,negotiated,paid_campaign,437,1
S0033,3,bags,3155,0.235,10,315.54,0.077,69,2,0,standard,organic,567,1
S0034,34,shoes,5997,0.239,113,53.07,0.128,400,0,1516,standard,partner,948,1
S0035,32,bags,7478,0.225,46,162.56,0.245,581,1,2144,standard,partner,1010,1
S0036,3,outerwear,7057,0.204,52,135.71,0.106,235,2,341,standard,organic,1028,1
S0037,16,shoes,2333,0.227,14,166.63,0.05,37,0,0,standard,paid_campaign,544,1
S0038,20,outerwear,32115,0.152,169,190.03,0.477,3538,19,4555,negotiated,paid_campaign,-275,1
S0039,26,underwear,14973,0.15,80,187.16,0.095,327,12,2216,negotiated,paid_campaign,958,1
S0040,17,underwear,35148,0.236,181,194.19,0.238,2620,1,652,standard,referral,5461,1
S0041,19,underwear,19699,0.226,148,133.1,0.159,1061,1,180,standard,organic,3179,1
S0042,22,jewelry,19575,0.14,111,176.35,0.183,806,10,1656,negotiated,paid_campaign,1125,1
S0043,24,dresses,10172,0.216,33,308.26,0.168,452,2,1998,standard,referral,1574,1
S0044,27,jewelry,13933,0.237,84,165.87,0.154,703,0,1625,standard,organic,2525,1
S0045,27,bags,2209,0.222,5,441.79,0.05,28,1,1709,standard,referral,429,1
S0046,35,accessories,42048,0.149,677,62.11,0.361,5928,11,2495,negotiated,paid_campaign,-682,1
S0047,14,underwear,3045,0.226,15,203.03,0.079,72,0,0,standard,organic,619,1
S0048,12,outerwear,9428,0.206,26,362.61,0.214,499,2,0,standard,organic,1292,1
S0049,31,bags,11069,0.201,40,276.71,0.05,141,1,0,standard,paid_campaign,1962,1
S0050,26,dresses,2404,0.229,16,150.23,0.169,134,2,1199,standard,paid_campaign,220,1
S0051,21,sportswear,14930,0.142,137,108.98,0.117,488,9,796,negotiated,paid_campaign,950,1
S0052,30,jewelry,6080,0.226,15,405.36,0.129,206,2,616,standard,paid_campaign,1011,1
S0053,9,shoes,6692,0.204,40,167.29,0.095,187,0,0,standard,paid_campaign,1199,1
S0054,33,dresses,20838,0.146,114,182.79,0.369,1754,18,4406,negotiated,referral,-222,1
S0055,2,dresses,1584,0.223,5,316.76,0.127,54,1,2439,standard,organic,298,1
S0056,11,accessories,6413,0.206,33,194.32,0.059,107,2,320,standard,paid_campaign,1016,1
S0057,33,jewelry,2103,0.227,7,300.47,0.05,29,1,1118,standard,organic,367,1
S0058,9,accessories,5071,0.202,47,107.89,0.083,144,1,231,standard,referral,796,1
S0059,2,underwear,4787,0.221,73,65.57,0.209,450,0,2100,standard,paid_campaign,526,1
S0060,30,dresses,22425,0.148,155,144.68,0.295,1665,14,1018,negotiated,partner,503,1
S0061,34,outerwear,7473,0.216,20,373.66,0.192,368,1,632,standard,paid_campaign,1178,1
S0062,32,shoes,4557,0.208,28,162.75,0.115,157,2,0,standard,paid_campaign,637,1
S0063,20,outerwear,18564,0.239,65,285.6,0.153,828,1,1605,standard,referral,3441,1
S0064,30,shoes,3613,0.215,15,240.85,0.05,50,1,0,standard,paid_campaign,576,1
S0065,22,dresses,50264,0.208,350,143.61,0.379,5952,2,462,standard,partner,4055,1
S0066,5,dresses,29280,0.215,106,276.23,0.347,2736,1,1959,standard,organic,3335,1
S0067,9,shoes,16400,0.166,76,215.79,0.184,711,9,3178,negotiated,referral,1220,1
S0068,32,sportswear,6250,0.217,25,250.0,0.123,213,1,0,standard,organic,1045,1
S0069,25,dresses,8164,0.153,26,314.0,0.187,307,22,4258,negotiated,organic,-792,1
